BoxOfficeMojo,IMDB,OriginalOrder,FilmName,Classic,ImDb_A,Boxofficemojo_A,Year,InflatedBudget,TotalGross,InflatedGross,V15,Check_enj_label,Proportion_male,Appr_alphas,Enj_alphas,Enjoyment,Enjoyment_SD,ViewerCount_enj,Check_appr_label,Appreciation,Appr_SD,ViewerCount_appr,Crime,Drama,Western,Action,Biography,History,Adventure,Fantasy,Mystery,SciFi,Romance,Thriller,War,Family,Animation,Comedy,MovieImdbID,UserRank,SubDownloadsCnt,TotalWords,HarmVirtue,HarmVirtueratio,HarmVice,HarmViceratio,FairnessVirtue,FairnessVirtueratio,FairnessVice,FairnessViceratio,IngroupVirtue,IngroupVirtueratio,IngroupVice,IngroupViceratio,AuthorityVirtue,AuthorityVirtueratio,AuthorityVice,AuthorityViceratio,PurityVirtue,PurityVirtueratio,PurityVice,PurityViceratio,MoralityGeneral,MoralityGeneralratio
0,1,12,LRFellowshipRing_Classic,0.75,1,0,2001,"$122,335,496.39","$871,530,324.00","$1,146,441,879.62",FelowshipofRing,FelowshipofRing_enj,0.41,0.925,0.955,5.77,1.24,117,FelowshipofRing_appr,5.0086206896551700,1.4955400406965600,116,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,120737,,4398,10983,32,0.002914,28,0.002549,5,0.000455,1,0.00009,10,0.000910,20,0.001821,20,0.001821,5,0.000455,2,0.000182,4,0.000364,40,0.003642
0,1,13,CuckoosNest_Classic,0.77,1,0,1975,"$18,797,531.24","$108,981,275.00","$465,586,118.59",FlewOverCuckoo,FlewOverCuckoo_enj,0.35,0.937,0.904,5.17,1.09,52,FlewOverCuckoo_appr,5.7435897435897400,1.1520851317630900,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73486,,2741,9931,5,0.000503,15,0.001510,2,0.000201,0,0.00000,5,0.000503,1,0.000101,9,0.000906,2,0.000201,2,0.000201,4,0.000403,38,0.003826
0,1,14,Goodfellas_Classic,0.76,1,0,1990,"$43,899,494.46","$46,836,214.00","$82,243,444.69",Goodfellas,Goodfellas_enj,0.52,0.890,0.946,5.35,1.44,48,Goodfellas_appr,4.6875000000000000,1.3251633558251400,48,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99685,trusted,555,15503,26,0.001677,24,0.001548,2,0.000129,2,0.00013,28,0.001806,0,0.000000,32,0.002064,3,0.000194,6,0.000387,9,0.000581,80,0.005160
0,1,15,SevenSamurai_Classic,0.43,1,0,1954,"$17,098,708.56","$271,841.00","$2,324,065.02",SevenSamurai,SevenSamurai_enj,0.41,0.925,0.931,4.48,1.32,30,SevenSamurai_appr,4.9195402298850600,1.3441678030101500,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47478,,457,6079,18,0.002961,41,0.006745,1,0.000165,1,0.00017,2,0.000329,6,0.000987,2,0.000329,0,0.000000,2,0.000329,5,0.000823,41,0.006745
0,1,16,Inception_Classic,0.43,1,0,2010,"$170,618,901.60","$825,532,764.00","$880,321,833.93",Inception,Inception_enj,0.30,0.787,0.836,5.98,0.86,188,Inception_appr,5.6172839506172800,1.1949093786058900,189,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1375666,,4423,11620,43,0.003701,20,0.001721,1,0.000086,1,0.00009,23,0.001979,5,0.000430,47,0.004045,1,0.000086,2,0.000172,4,0.000344,36,0.003098
0,1,17,StarWars_Classic,0.95,1,0,1977,"$41,706,673.15","$775,398,007.00","$2,939,933,749.25",StarWarsNewHope,StarWarsNewHope_enj,0.37,0.900,0.957,6.07,1.05,122,StarWarsNewHope_appr,4.9917355371900800,1.4753924838253900,121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,76759,bronze member,1894,6515,10,0.001535,26,0.003991,4,0.000614,0,0.00000,4,0.000614,6,0.000921,25,0.003837,26,0.003991,3,0.000460,3,0.000460,26,0.003991
0,1,18,ForrestGump_Classic,0.94,1,0,1994,"$85,151,572.15","$677,387,716.00","$1,048,738,708.56",ForrestGump,ForrestGump_enj,0.26,0.871,0.885,6.16,1.00,194,ForrestGump_appr,6.3039723661485300,0.9518204386230460,193,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,109830,silver member,2391,7726,10,0.001294,33,0.004271,1,0.000129,0,0.00000,16,0.002071,0,0.000000,15,0.001941,0,0.000000,0,0.000000,4,0.000518,23,0.002977
0,1,19,TheMatrix_Classic,0.77,1,0,1999,"$87,061,137.29","$463,517,383.00","$640,545,246.34",Matrix,Matrix_enj,0.42,0.932,0.896,5.78,1.12,130,Matrix_appr,5.2325581395348800,1.3677870478509300,129,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,133093,bronze member,542,6617,5,0.000756,22,0.003325,5,0.000756,0,0.00000,2,0.000302,4,0.000605,18,0.002720,0,0.000000,6,0.000907,2,0.000302,22,0.003325
1,1,20,LRTwoTowers_Classic,0.66,1,1,2002,"$120,752,863.12","$926,047,111.00","$1,189,604,681.25",TwoTowers,TwoTowers_enj,0.42,0.966,0.927,5.91,1.02,99,TwoTowers_appr,4.9550000000000000,1.4457754163192900,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,167261,,1604,8081,18,0.002227,71,0.008786,2,0.000247,0,0.00000,9,0.001114,9,0.001114,13,0.001609,6,0.000742,0,0.000000,13,0.001609,25,0.003094
0,1,21,CityofGod_Classic,0.53,1,0,2002,"$4,239,196.26","$30,641,770.00","$39,362,568.71",CityofGod,CityofGod_enj,0.39,0.966,0.905,4.64,1.36,32,CityofGod_appr,4.9677419354838700,1.5761059343737000,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854518,,1160,10718,9,0.000840,24,0.002239,0,0.000000,0,0.00000,19,0.001773,3,0.000280,8,0.000746,1,0.000093,5,0.000467,7,0.000653,24,0.002239
